"result_inThePoints","result_startingGridPosition","driverId","driver_name","constructorId","constructor_name","circuit_name","circuit_city","race_month","race_year","race_round","driverAge","driver_homeCountry","constructor_homeCountry","result_percentOfPreviousRaceCompleted","result_previousFinishDescrip","status_previousDescrip","driver_preRaceTotPoints","driver_preRaceTotWins","driverCluster"
TRUE,1,642,"farina",51,"alfa","silverstone","Silverstone",5,1950,1,43,"Italy","Italy",0,"First race","First race",0,0,"2"
TRUE,2,786,"fagioli",51,"alfa","silverstone","Silverstone",5,1950,1,51,"Italy","Italy",0,"First race","First race",0,0,"2"
TRUE,4,686,"reg_parnell",51,"alfa","silverstone","Silverstone",5,1950,1,38,"United Kingdom","Italy",0,"First race","First race",0,0,"2"
TRUE,6,704,"cabantous",154,"lago","silverstone","Silverstone",5,1950,1,45,"France","France",0,"First race","First race",0,0,"2"
TRUE,9,627,"rosier",154,"lago","silverstone","Silverstone",5,1950,1,44,"France","France",0,"First race","First race",0,0,"2"
FALSE,13,619,"gerard",151,"era","silverstone","Silverstone",5,1950,1,36,"United Kingdom","United Kingdom",0,"First race","First race",0,0,"2"
FALSE,15,787,"harrison",151,"era","silverstone","Silverstone",5,1950,1,43,"United Kingdom","United Kingdom",0,"First race","First race",0,0,"2"
FALSE,14,741,"etancelin",154,"lago","silverstone","Silverstone",5,1950,1,53,"France","France",0,"First race","First race",0,0,"2"
FALSE,16,784,"hampshire",105,"maserati","silverstone","Silverstone",5,1950,1,32,"United Kingdom","Italy",0,"First race","First race",0,0,"2"
FALSE,20,788,"fry",105,"maserati","silverstone","Silverstone",5,1950,1,34,"United Kingdom","Italy",0,"First race","First race",0,0,"2"
FALSE,20,778,"shawe_taylor",105,"maserati","silverstone","Silverstone",5,1950,1,35,"United Kingdom","Italy",0,"First race","First race",0,0,"2"
FALSE,21,660,"claes",154,"lago","silverstone","Silverstone",5,1950,1,33,"Belgium","France",0,"First race","First race",0,0,"2"
FALSE,3,579,"fangio",51,"alfa","silverstone","Silverstone",5,1950,1,38,"Argentina","Italy",0,"First race","First race",0,0,"1"
FALSE,19,776,"kelly",126,"alta","silverstone","Silverstone",5,1950,1,37,"Ireland","United Kingdom",0,"First race","First race",0,0,"2"
FALSE,5,669,"bira",105,"maserati","silverstone","Silverstone",5,1950,1,35,"Thailand","Italy",0,"First race","First race",0,0,"4"
FALSE,18,747,"murray",105,"maserati","silverstone","Silverstone",5,1950,1,40,"United Kingdom","Italy",0,"First race","First race",0,0,"2"
FALSE,17,785,"crossley",126,"alta","silverstone","Silverstone",5,1950,1,29,"United Kingdom","United Kingdom",0,"First race","First race",0,0,"2"
FALSE,8,640,"graffenried",105,"maserati","silverstone","Silverstone",5,1950,1,36,"Switzerland","Italy",0,"First race","First race",0,0,"2"
FALSE,11,589,"chiron",105,"maserati","silverstone","Silverstone",5,1950,1,50,"Monaco","Italy",0,"First race","First race",0,0,"2"
FALSE,7,789,"martin",154,"lago","silverstone","Silverstone",5,1950,1,35,"France","France",0,"First race","First race",0,0,"2"
FALSE,10,661,"peter_walker",151,"era","silverstone","Silverstone",5,1950,1,37,"United Kingdom","United Kingdom",0,"First race","First race",0,0,"2"
FALSE,10,666,"rolt",151,"era","silverstone","Silverstone",5,1950,1,31,"United Kingdom","United Kingdom",0,"First race","First race",0,0,"2"
FALSE,12,790,"leslie_johnson",151,"era","silverstone","Silverstone",5,1950,1,38,"United Kingdom","United Kingdom",0,"First race","First race",0,0,"2"
TRUE,1,579,"fangio",51,"alfa","monaco","Monte-Carlo",5,1950,2,38,"Argentina","Italy",88,"Retired","Oil leak",0,0,"1"
TRUE,7,647,"ascari",6,"ferrari","monaco","Monte-Carlo",5,1950,2,31,"Italy","Italy",0,"First race","First race",0,0,"2"
TRUE,8,589,"chiron",105,"maserati","monaco","Monte-Carlo",5,1950,2,50,"Monaco","Italy",37,"Retired","Clutch",0,0,"2"
TRUE,9,793,"sommer",6,"ferrari","monaco","Monte-Carlo",5,1950,2,43,"France","Italy",0,"First race","First race",0,0,"2"
TRUE,15,669,"bira",105,"maserati","monaco","Monte-Carlo",5,1950,2,35,"Thailand","Italy",70,"Retired","Out of fuel",0,0,"4"
FALSE,16,619,"gerard",151,"era","monaco","Monte-Carlo",5,1950,2,36,"United Kingdom","United Kingdom",95,"Finished","+3 Laps",0,0,"2"
FALSE,19,660,"claes",154,"lago","monaco","Monte-Carlo",5,1950,2,33,"Belgium","France",91,"Finished","+6 Laps",0,0,"2"
FALSE,6,633,"villoresi",6,"ferrari","monaco","Monte-Carlo",5,1950,2,41,"Italy","Italy",0,"First race","First race",0,0,"2"
FALSE,4,741,"etancelin",154,"lago","monaco","Monte-Carlo",5,1950,2,53,"France","France",92,"Finished","+5 Laps",0,0,"2"
