"circuitId","circuit_name","circuit_city","circuit_country","circuit_lat","circuit_long","circuit_url"
1,"albert_park","Melbourne","Australia",-37.8497,144.968,"http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit"
2,"sepang","Kuala Lumpur","Malaysia",2.76083,101.738,"http://en.wikipedia.org/wiki/Sepang_International_Circuit"
3,"bahrain","Sakhir","Bahrain",26.0325,50.5106,"http://en.wikipedia.org/wiki/Bahrain_International_Circuit"
4,"catalunya","Montmelo","Spain",41.57,2.26111,"http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya"
5,"istanbul","Istanbul","Turkey",40.9517,29.405,"http://en.wikipedia.org/wiki/Istanbul_Park"
6,"monaco","Monte-Carlo","Monaco",43.7347,7.42056,"http://en.wikipedia.org/wiki/Circuit_de_Monaco"
7,"villeneuve","Montreal","Canada",45.5,-73.5228,"http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve"
8,"magny_cours","Magny Cours","France",46.8642,3.16361,"http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours"
9,"silverstone","Silverstone","UK",52.0786,-1.01694,"http://en.wikipedia.org/wiki/Silverstone_Circuit"
10,"hockenheimring","Hockenheim","Germany",49.3278,8.56583,"http://en.wikipedia.org/wiki/Hockenheimring"
11,"hungaroring","Budapest","Hungary",47.5789,19.2486,"http://en.wikipedia.org/wiki/Hungaroring"
12,"valencia","Valencia","Spain",39.4589,-0.331667,"http://en.wikipedia.org/wiki/Valencia_Street_Circuit"
13,"spa","Spa","Belgium",50.4372,5.97139,"http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps"
14,"monza","Monza","Italy",45.6156,9.28111,"http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza"
15,"marina_bay","Marina Bay","Singapore",1.2914,103.864,"http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit"
16,"fuji","Oyama","Japan",35.3717,138.927,"http://en.wikipedia.org/wiki/Fuji_Speedway"
17,"shanghai","Shanghai","China",31.3389,121.22,"http://en.wikipedia.org/wiki/Shanghai_International_Circuit"
18,"interlagos","Sao Paulo","Brazil",-23.7036,-46.6997,"http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace"
19,"indianapolis","Indianapolis","USA",39.795,-86.2347,"http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway"
20,"nurburgring","Nurburg","Germany",50.3356,6.9475,"http://en.wikipedia.org/wiki/N%C3%BCrburgring"
21,"imola","Imola","Italy",44.3439,11.7167,"http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari"
22,"suzuka","Suzuka","Japan",34.8431,136.541,"http://en.wikipedia.org/wiki/Suzuka_Circuit"
23,"osterreichring","Spielburg","Austria",47.2197,14.7647,"http://en.wikipedia.org/wiki/A1-Ring"
24,"yas_marina","Abu Dhabi","UAE",24.4672,54.6031,"http://en.wikipedia.org/wiki/Yas_Marina_Circuit"
25,"galvez","Buenos Aires","Argentina",-34.6943,-58.4593,"http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez"
26,"jerez","Jerez de la Frontera","Spain",36.7083,-6.03417,"http://en.wikipedia.org/wiki/Circuito_Permanente_de_Jerez"
27,"estoril","Estoril","Portugal",38.7506,-9.39417,"http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril"
28,"okayama","Okayama","Japan",34.915,134.221,"http://en.wikipedia.org/wiki/TI_Circuit"
29,"adelaide","Adelaide","Australia",-34.9272,138.617,"http://en.wikipedia.org/wiki/Adelaide_Street_Circuit"
30,"kyalami","Midrand","South Africa",-25.9894,28.0767,"http://en.wikipedia.org/wiki/Kyalami"
31,"donington","Castle Donington","UK",52.8306,-1.37528,"http://en.wikipedia.org/wiki/Donington_Park"
32,"rodriguez","Mexico City","Mexico",19.4042,-99.0907,"http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez"
33,"phoenix","Phoenix","USA",33.4479,-112.075,"http://en.wikipedia.org/wiki/Phoenix_street_circuit"
34,"ricard","Le Castellet","France",43.2506,5.79167,"http://en.wikipedia.org/wiki/Paul_Ricard_Circuit"
35,"yeongam","Yeongam County","Korea",34.7333,126.417,"http://en.wikipedia.org/wiki/Korean_International_Circuit"
36,"jacarepagua","Rio de Janeiro","Brazil",-22.9756,-43.395,"http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet"
37,"detroit","Detroit","USA",42.3298,-83.0401,"http://en.wikipedia.org/wiki/Detroit_street_circuit"
38,"brands_hatch","Kent","UK",51.3569,0.263056,"http://en.wikipedia.org/wiki/Brands_Hatch"
39,"zandvoort","Zandvoort","Netherlands",52.3888,4.54092,"http://en.wikipedia.org/wiki/Circuit_Zandvoort"
40,"zolder","Heusden-Zolder","Belgium",50.9894,5.25694,"http://en.wikipedia.org/wiki/Zolder"
41,"dijon","Dijon","France",47.3625,4.89913,"http://en.wikipedia.org/wiki/Dijon-Prenois"
42,"dallas","Dallas","USA",32.7774,-96.7587,"http://en.wikipedia.org/wiki/Fair_Park"
43,"long_beach","California","USA",33.7651,-118.189,"http://en.wikipedia.org/wiki/Long_Beach,_California"
44,"las_vegas","Nevada","USA",36.1162,-115.174,"http://en.wikipedia.org/wiki/Las_Vegas,_Nevada"
45,"jarama","Madrid","Spain",40.6171,-3.58558,"http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama"
46,"watkins_glen","New York State","USA",42.3369,-76.9272,"http://en.wikipedia.org/wiki/Watkins_Glen_International"
47,"anderstorp","Anderstorp","Sweden",57.2653,13.6042,"http://en.wikipedia.org/wiki/Scandinavian_Raceway"
48,"mosport","Ontario","Canada",44.0481,-78.6756,"http://en.wikipedia.org/wiki/Mosport"
49,"montjuic","Barcelona","Spain",41.3664,2.15167,"http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit"
50,"nivelles","Brussels","Belgium",50.6211,4.32694,"http://en.wikipedia.org/wiki/Nivelles-Baulers"
51,"charade","Clermont-Ferrand","France",45.7472,3.03889,"http://en.wikipedia.org/wiki/Charade_Circuit"
52,"tremblant","Quebec","Canada",46.1877,-74.6099,"http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant"
53,"essarts","Rouen","France",49.3306,1.00458,"http://en.wikipedia.org/wiki/Rouen-Les-Essarts"
