"constructorId","constructor_name","constructor_nationality","constructor_url"
1,"mclaren","British","http://en.wikipedia.org/wiki/McLaren"
2,"bmw_sauber","German","http://en.wikipedia.org/wiki/BMW_Sauber"
3,"williams","British","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering"
4,"renault","French","http://en.wikipedia.org/wiki/Renault_F1"
5,"toro_rosso","Italian","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso"
6,"ferrari","Italian","http://en.wikipedia.org/wiki/Scuderia_Ferrari"
7,"toyota","Japanese","http://en.wikipedia.org/wiki/Toyota_Racing"
8,"super_aguri","Japanese","http://en.wikipedia.org/wiki/Super_Aguri_F1"
9,"red_bull","Austrian","http://en.wikipedia.org/wiki/Red_Bull_Racing"
10,"force_india","Indian","http://en.wikipedia.org/wiki/Force_India"
11,"honda","Japanese","http://en.wikipedia.org/wiki/Honda_Racing_F1"
12,"spyker","Dutch","http://en.wikipedia.org/wiki/Spyker_F1"
13,"mf1","Russian","http://en.wikipedia.org/wiki/Midland_F1_Racing"
14,"spyker_mf1","Dutch","http://en.wikipedia.org/wiki/Midland_F1_Racing"
15,"sauber","Swiss","http://en.wikipedia.org/wiki/Sauber"
16,"bar","British","http://en.wikipedia.org/wiki/British_American_Racing"
17,"jordan","Irish","http://en.wikipedia.org/wiki/Jordan_Grand_Prix"
18,"minardi","Italian","http://en.wikipedia.org/wiki/Minardi"
19,"jaguar","British","http://en.wikipedia.org/wiki/Jaguar_Racing"
20,"prost","French","http://en.wikipedia.org/wiki/Prost_Grand_Prix"
21,"arrows","British","http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International"
22,"benetton","Italian","http://en.wikipedia.org/wiki/Benetton_Formula"
23,"brawn","British","http://en.wikipedia.org/wiki/Brawn_GP"
24,"stewart","British","http://en.wikipedia.org/wiki/Stewart_Grand_Prix"
25,"tyrrell","British","http://en.wikipedia.org/wiki/Tyrrell_Racing"
26,"lola","British","http://en.wikipedia.org/wiki/MasterCard_Lola"
27,"ligier","French","http://en.wikipedia.org/wiki/Ligier"
28,"forti","Italian","http://en.wikipedia.org/wiki/Forti"
29,"footwork","British","http://en.wikipedia.org/wiki/Footwork_Arrows"
30,"pacific","British","http://en.wikipedia.org/wiki/Pacific_Racing"
31,"simtek","British","http://en.wikipedia.org/wiki/Simtek"
32,"team_lotus","British","http://en.wikipedia.org/wiki/Team_Lotus"
33,"larrousse","French","http://en.wikipedia.org/wiki/Larrousse"
34,"brabham","British","http://en.wikipedia.org/wiki/Brabham"
35,"dallara","Italian","http://en.wikipedia.org/wiki/Dallara"
36,"fondmetal","Italian","http://en.wikipedia.org/wiki/Fondmetal"
37,"march","British","http://en.wikipedia.org/wiki/March_Engineering"
38,"moda","Italian","http://en.wikipedia.org/wiki/Andrea_Moda_Formula"
39,"ags","French","http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives"
40,"lambo","Italian","http://en.wikipedia.org/wiki/Modena_(racing_team)"
41,"leyton","British","http://en.wikipedia.org/wiki/Leyton_House"
42,"coloni","Italian","http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems"
44,"eurobrun","Italian","http://en.wikipedia.org/wiki/Euro_Brun"
45,"osella","Italian","http://en.wikipedia.org/wiki/Osella"
46,"onyx","British","http://en.wikipedia.org/wiki/Onyx_(racing_team)"
47,"life","Italian","http://en.wikipedia.org/wiki/Life_(Racing_Team)"
48,"rial","German","http://en.wikipedia.org/wiki/Rial_%28racing_team%29"
49,"zakspeed","German","http://en.wikipedia.org/wiki/Zakspeed"
50,"ram","British","http://en.wikipedia.org/wiki/RAM_Racing"
51,"alfa","Italian","http://en.wikipedia.org/wiki/Alfa_Romeo_(Formula_One)"
52,"spirit","British","http://en.wikipedia.org/wiki/Spirit_(racing_team)"
53,"toleman","British","http://en.wikipedia.org/wiki/Toleman"
54,"ats","Italian","http://en.wikipedia.org/wiki/ATS_(wheels)"
55,"theodore","Hong Kong","http://en.wikipedia.org/wiki/Theodore_Racing"
56,"fittipaldi","Brazilian","http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29"
57,"ensign","British","http://en.wikipedia.org/wiki/Ensign_%28racing_team%29"
58,"shadow","British","http://en.wikipedia.org/wiki/Shadow_Racing_Cars"
59,"wolf","Canadian","http://en.wikipedia.org/wiki/Walter_Wolf_Racing"
60,"merzario","Italian","http://en.wikipedia.org/wiki/Merzario"
61,"kauhsen","German","http://en.wikipedia.org/wiki/Kauhsen"
62,"rebaque","Mexican","http://en.wikipedia.org/wiki/Rebaque"
63,"surtees","British","http://en.wikipedia.org/wiki/Surtees"
64,"hesketh","British","http://en.wikipedia.org/wiki/Hesketh_Racing"
65,"martini","French","http://en.wikipedia.org/wiki/Martini_(cars)"
66,"brm","British","http://en.wikipedia.org/wiki/BRM"
67,"penske","American","http://en.wikipedia.org/wiki/Penske_Racing"
68,"lec","British","http://en.wikipedia.org/wiki/LEC_(Formula_One)"
69,"mcguire","Australian","http://en.wikipedia.org/wiki/McGuire_(Formula_One)"
70,"boro","Dutch","http://en.wikipedia.org/wiki/Boro_(Formula_One)"
71,"apollon","Swiss","http://en.wikipedia.org/wiki/Apollon_(Formula_One)"
72,"kojima","Japanese","http://en.wikipedia.org/wiki/Kojima_Engineering"
73,"parnelli","American","http://en.wikipedia.org/wiki/Parnelli"
74,"maki","Japanese","http://en.wikipedia.org/wiki/Maki_(cars)"
75,"hill","British","http://en.wikipedia.org/wiki/Hill_(constructor)"
76,"lyncar","British","http://en.wikipedia.org/wiki/Lyncar"
77,"trojan","British","http://en.wikipedia.org/wiki/Trojan_(Racing_team)"
78,"amon","New Zealand","http://en.wikipedia.org/wiki/Amon_(Formula_One_team)"
79,"token","British","http://en.wikipedia.org/wiki/Token_(Racing_team)"
80,"iso_marlboro","British","http://en.wikipedia.org/wiki/Iso_Marlboro"
81,"tecno","Italian","http://en.wikipedia.org/wiki/Tecno"
82,"matra","French","http://en.wikipedia.org/wiki/Matra"
83,"politoys","British","http://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars"
84,"connew","British","http://en.wikipedia.org/wiki/Connew"
