"raceId","driverId","pitStop_stopNum","pitStop_lap","pitStop_timeOfDay","pitStop_durationMillisec","pitStop_totalStops","pitStop_avgDuration"
841,1,1,16,"17:28:24",23227,2,23213
841,1,2,36,"17:59:29",23199,2,23213
841,2,1,15,"17:27:41",22994,2,24046
841,2,2,30,"17:51:32",25098,2,24046
841,3,1,16,"17:29:00",23716,1,23716
841,4,1,12,"17:22:34",23251,3,24055
841,4,2,27,"17:46:04",24733,3,24055
841,4,3,42,"18:09:08",24181,3,24055
841,5,1,17,"17:31:11",24865,1,24865
841,10,1,18,"17:33:02",23792,1,23792
841,13,1,13,"17:24:10",23842,3,24145
841,13,2,31,"17:52:28",24500,3,24145
841,13,3,48,"18:18:54",24095,3,24145
841,15,1,16,"17:29:49",24899,2,24873
841,15,2,37,"18:03:55",24848,2,24873
841,16,1,16,"17:29:08",25978,2,24924
841,16,2,37,"18:02:15",23871,2,24924
841,17,1,11,"17:20:48",23426,3,24058
841,17,2,26,"17:44:29",22520,3,24058
841,17,3,41,"18:07:37",26230,3,24058
841,18,1,17,"17:30:24",16867,3,20950
841,18,2,19,"17:33:53",23303,3,20950
841,18,3,37,"18:01:49",22681,3,20950
841,20,1,14,"17:25:17",22603,2,23319
841,20,2,36,"17:59:17",24036,2,23319
841,22,1,13,"17:24:29",23643,4,26175
841,22,2,23,"17:40:45",37856,4,26175
841,22,3,28,"17:49:07",16892,4,26175
841,22,4,40,"18:08:03",26309,4,26175
841,30,1,1,"17:05:52",25021,2,24504
841,30,2,17,"17:32:08",23988,2,24504
841,67,1,15,"17:27:34",25342,2,24221
841,67,2,29,"17:49:47",23100,2,24221
841,153,1,1,"17:05:23",26898,3,25903
841,153,2,17,"17:31:06",24463,3,25903
841,153,3,35,"17:59:45",26348,3,25903
841,155,1,16,"17:29:06",24064,2,24128
841,155,2,32,"17:54:21",24192,2,24128
841,808,1,16,"17:28:39",24535,2,25109
841,808,2,36,"17:59:47",25683,2,25109
841,814,1,14,"17:26:03",24863,2,24597
841,814,2,36,"18:00:48",24332,2,24597
841,815,1,23,"17:40:27",23438,1,23438
841,816,1,14,"17:26:50",25259,2,25852
841,816,2,38,"18:06:53",26446,2,25852
842,1,1,12,"16:24:40",22552,4,23252
842,1,2,24,"16:45:48",22611,4,23252
842,1,3,37,"17:08:28",25382,4,23252
842,1,4,52,"17:34:48",22466,4,23252
842,2,1,13,"16:26:28",23900,3,23241
842,2,2,26,"16:49:31",23221,3,23241
842,2,3,39,"17:12:09",22602,3,23241
842,3,1,15,"16:30:37",24967,3,23356
842,3,2,29,"16:55:28",22577,3,23356
842,3,3,40,"17:15:05",22526,3,23356
842,4,1,14,"16:28:15",23152,4,24510
842,4,2,26,"16:49:19",23894,4,24510
842,4,3,41,"17:15:25",23812,4,24510
842,4,4,46,"17:24:24",27182,4,24510
842,5,1,15,"16:30:37",29084,2,26210
842,5,2,34,"17:04:41",23336,2,26210
842,10,1,17,"16:34:28",24617,2,24523
842,10,2,34,"17:05:19",24429,2,24523
842,13,1,13,"16:26:30",29224,3,24886
842,13,2,27,"16:51:17",22541,3,24886
842,13,3,38,"17:10:28",22893,3,24886
842,15,1,13,"16:27:03",25516,1,25516
842,16,1,3,"16:09:07",31694,3,25430
