"resultId","raceId","driverId","constructorId","result_startingGridPosition","result_finishOrder","result_pointsEarned","result_lapsCompleted","result_finishTimeMillisec","result_fastestLap","result_fastestLapRank","result_fastestLapSpeed","statusId","result_finishDescription","result_fastestLapTimeMillisec"
1,18,1,1,1,1,10,58,5690616,39,2,218.3,1,"Finished",87500
2,18,2,2,5,2,8,58,5696094,41,3,217.586,1,"Finished",87700
3,18,3,3,7,3,6,58,5698779,41,5,216.719,1,"Finished",88100
4,18,4,4,11,4,5,58,5707797,58,7,215.464,1,"Finished",88600
5,18,5,1,3,5,4,58,5708630,43,1,218.385,1,"Finished",87400
6,18,6,3,13,6,3,57,NA,50,14,212.974,11,"Finished",89600
7,18,7,5,17,7,2,55,NA,22,12,213.224,5,"Finished",89500
8,18,8,6,15,8,1,53,NA,20,4,217.18,5,"Finished",87900
9,18,9,2,2,9,0,47,NA,15,9,215.1,4,"Retired",88800
10,18,10,7,18,10,0,43,NA,23,13,213.166,3,"Retired",89600
11,18,11,8,19,11,0,32,NA,24,15,210.038,7,"Retired",90900
12,18,12,4,20,12,0,30,NA,20,16,208.907,8,"Retired",91400
13,18,13,6,4,13,0,29,NA,23,6,216.51,5,"Retired",88200
14,18,14,9,8,14,0,25,NA,21,11,213.3,4,"Retired",89500
15,18,15,7,6,15,0,19,NA,18,10,213.758,10,"Retired",89300
16,18,16,10,22,16,0,8,NA,8,17,207.461,9,"Retired",92000
17,18,17,9,14,17,0,0,NA,NA,NA,NA,4,"Retired",NA
18,18,18,11,12,18,0,0,NA,NA,NA,NA,4,"Retired",NA
19,18,19,8,21,19,0,0,NA,NA,NA,NA,4,"Retired",NA
20,18,20,5,9,20,0,0,NA,NA,NA,NA,4,"Retired",NA
21,18,21,10,16,21,0,0,NA,NA,NA,NA,4,"Retired",NA
22,18,22,11,10,22,0,58,NA,44,8,215.141,2,"Disqualified",88700
23,19,8,6,2,1,10,56,5478555,37,2,209.158,1,"Finished",95400
24,19,9,2,4,2,8,56,5498125,39,6,208.033,1,"Finished",95900
25,19,5,1,8,3,6,56,5517005,19,7,208.031,1,"Finished",95900
26,19,15,7,3,4,5,56,5524387,53,8,207.715,1,"Finished",96100
27,19,1,1,9,5,4,56,5525103,53,3,209.033,1,"Finished",95500
28,19,2,2,5,6,3,56,5528388,55,1,209.244,1,"Finished",95400
29,19,17,9,6,7,2,56,5546685,53,12,206.366,1,"Finished",96700
30,19,4,4,7,8,1,56,5548596,40,10,207.24,1,"Finished",96300
31,19,14,9,12,9,0,56,5554775,55,9,207.417,1,"Finished",96200
32,19,18,11,11,10,0,56,5564769,56,4,208.481,1,"Finished",95700
33,19,12,4,13,11,0,56,5570757,52,15,205.812,1,"Finished",97000
34,19,21,10,17,12,0,55,NA,52,16,205.8,11,"Finished",97000
35,19,22,11,14,13,0,55,NA,55,11,206.372,11,"Finished",96700
36,19,3,3,16,14,0,55,NA,55,13,206.182,11,"Finished",96800
37,19,19,8,21,15,0,55,NA,55,18,203.265,11,"Finished",98200
38,19,11,8,19,16,0,54,NA,53,19,202.578,12,"Finished",98500
39,19,6,3,22,17,0,54,NA,19,17,204.222,12,"Finished",97700
40,19,20,5,15,18,0,39,NA,37,14,205.995,5,"Retired",96900
41,19,13,6,1,19,0,30,NA,15,5,208.048,20,"Retired",95900
42,19,16,10,20,20,0,5,NA,3,20,198.891,9,"Retired",100300
43,19,10,7,10,21,0,1,NA,NA,NA,NA,4,"Retired",NA
44,19,7,5,18,22,0,0,NA,NA,NA,NA,20,"Retired",NA
45,20,13,6,2,1,10,57,5466970,38,3,208.153,1,"Finished",93600
46,20,8,6,4,2,8,57,5470309,35,4,207.911,1,"Finished",93700
